Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9565,3220000-101-2021-01215,2021-10-12,영업/정상,72.72,135-897,서울특별시 강남구 신사동 657-5,서울 강남구 압구정로48길 35,엔뜨레 오 팡(Entre O Pang),일식,203208.864432662,447096.715000141,,,신사동,,엔뜨레 오 팡,['820669377'],1117242239,1117242239
9566,3220000-101-2021-01216,20211013,영업/정상,36.00,135820,서울특별시 강남구 논현동 111-22 ,서울 강남구 선릉로 717,닭장수和 후라이드,호프/통닭,203510.382173246,446273.791418845,,,논현동,,닭장수和 후라이드,['302504172'], , 
9567,3220000-101-2021-01217,2021-10-13,영업/정상,124.81,135-895,서울특별시 강남구 신사동 631-32,서울 강남구 언주로152길 15-6,리윤 오츠마미,경양식,203015.044404415,446774.330618768,,,신사동,,리윤 오츠마미,['1568052244'], , 
9568,3220000-101-2021-01218,20211013,영업/정상,96.10,135913,서울특별시 강남구 역삼동 650 부봉빌딩 ,서울 강남구 논현로 570,바나프레소 언주역점,기타,202959.769251132,444989.833654259,,,역삼동,,바나프레소 언주역,['703375738'],715000868,715000868
9569,3220000-101-2021-01219,20211013,영업/정상,35.34,135830,서울특별시 강남구 논현동 230-1,서울 강남구 언주로115길 15,혼돈(魂豚),일식,203065.803267803,445294.449319186,,,논현동,,혼돈,['21237257'],1714752446,1714752446
9570,3220000-101-2021-01220,20211013,영업/정상,155.37,135954,서울특별시 강남구 청담동 81-8 ,서울 강남구 선릉로162길 52,두사라 청담,일식,203886.73108204,447075.319448685,,,청담동,,두사라 청담,['1117473795'],1238633877,1238633877
9571,3220000-101-2021-01222,20211013,영업/정상,29.75,135820,서울특별시 강남구 논현동 111-26 ,서울 강남구 선릉로 711,카페 델 꼬또네,기타,203519.697982956,446241.744454536,,,논현동,,카페 델 꼬또네,['757707895'],1824483029,1824483029
9572,3220000-101-2021-01224,2021-10-13,영업/정상,44.35,135-888,서울특별시 강남구 신사동 524-15,서울 강남구 압구정로10길 34-1,메종드그릭,기타,201864.872840634,446570.678530388,,,신사동,,메종드그릭,['1910531581'],842254000,842254000
9573,3220000-101-2021-01227,2021-10-13,영업/정상,15.00,135-833,서울특별시 강남구 논현동 278-14,서울 강남구 봉은사로51길 3-3,주니냉면,한식,203686.143918498,445344.679446233,,,논현동,,주니냉면,['1953185600'], , 
9574,3220000-101-2021-01228,20211014,영업/정상,50.00,135841,서울특별시 강남구 대치동 907-15 ,서울 강남구 선릉로 402,온복비빔국수,한식,204440.701257464,444290.040574616,,,대치동,,온복비빔국수,['1584134665'],332675034,332675034
