,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner
9207,3220000-101-2021-00616,20210525,영업/정상,110.02,135896,서울특별시 강남구 신사동 646-1 ,"서울특별시 강남구 언주로168길 32, 지상1층 (신사동)",피치 peach,기타,203128.134767957    ,447069.103118204    ,,,신사동,
9208,3220000-101-2021-00617,20210526,영업/정상,18.90,135936,서울특별시 강남구 역삼동 832-56 ,"서울특별시 강남구 역삼로4길 22, 지상1층 (역삼동)",포트캔커피(역삼점),기타,202787.060559315    ,443328.502637131    ,,,역삼동,
9209,3220000-101-2021-00618,2021-05-26,영업/정상,368.25,135-731,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 (삼성동)",주식회사 빅바이트컴퍼니 쉐이크쉑 코엑스,기타,205130.591678902,445590.096837802,,,삼성동,
9210,3220000-101-2021-00622,2021-05-26,영업/정상,106.00,135-830,서울특별시 강남구 논현동 230,"서울특별시 강남구 봉은사로33길 28, 지상1층 102호 (논현동)",흑벽돌집 by 숯불,한식,203049.70871745,445286.365501337,,,논현동,
9211,3220000-101-2021-00624,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 16호 (대치동)",외갓집 된장식탁 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9212,3220000-101-2021-00625,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 1호 (대치동)",주식회사 우아한 강남키친,한식,204729.853804924,444596.872112383,,,대치동,
9213,3220000-101-2021-00626,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 2호 (대치동)",공유주방 우아한 강남키친,한식,204729.853804924,444596.872112383,,,대치동,
9214,3220000-101-2021-00627,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 3호 (대치동)",실하다 푸드 Lab 대치,한식,204729.853804924,444596.872112383,,,대치동,
9215,3220000-101-2021-00628,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 4호 (대치동)",간판없는 부대찌개 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9216,3220000-101-2021-00629,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 5호 (대치동)",후쿠오카 호르몬동 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9217,3220000-101-2021-00630,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 6호 (대치동)",나고야 히츠마부시 장어덮밥 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9218,3220000-101-2021-00631,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 7호 (대치동)",송파 만두 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9219,3220000-101-2021-00632,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 8호 (대치동)",간판없는 김치찌개 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9220,3220000-101-2021-00633,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 9호 (대치동)",시어머니 김치찜,한식,204729.853804924,444596.872112383,,,대치동,
9221,3220000-101-2021-00634,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 10호 (대치동)",연어요리 연구소 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9222,3220000-101-2021-00635,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 11호 (대치동)",어반박스(Urban Box) 도시락 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9223,3220000-101-2021-00637,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 12호 (대치동)",정육점 아저씨의 투잡 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9224,3220000-101-2021-00638,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 13호 (대치동)",대도 숯불갈비덮밥 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9225,3220000-101-2021-00639,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 14호 (대치동)",십오야 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9226,3220000-101-2021-00640,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 15호 (대치동)",덮밥파는 덮밥집 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9227,3220000-101-2021-00641,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 17호 (대치동)",연어파는 육회집 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9228,3220000-101-2021-00642,2021-05-27,영업/정상,4.58,135-841,서울특별시 강남구 대치동 901-23,"서울특별시 강남구 삼성로81길 43, 지상2층 18호 (대치동)",찌개박사 대치점,한식,204729.853804924,444596.872112383,,,대치동,
9229,3220000-101-2021-00645,20210528,영업/정상,109.54,135949,서울특별시 강남구 청담동 9-12 ,"서울특별시 강남구 학동로77길 50, 지하1층 (청담동)",휴머,기타,204171.424580519    ,446636.433529584    ,,,청담동,
9230,3220000-101-2021-00646,20210528,영업/정상,88.79,135936,서울특별시 강남구 역삼동 830-11 ,"서울특별시 강남구 역삼로5길 19, 지상1층 (역삼동)",가가솥밥 강남점,한식,202747.789345988    ,443648.031305595    ,,,역삼동,
9231,3220000-101-2021-00647,20210528,영업/정상,26.00,135825,서울특별시 강남구 논현동 145-8 ,"서울특별시 강남구 강남대로126길 26, 지상1층 103호 (논현동)",죽여주는 떡볶이,분식,202111.602446936    ,445276.919784013    ,,,논현동,
9232,3220000-101-2021-00648,20210528,영업/정상,115.37,135731,서울특별시 강남구 삼성동 159 코엑스 ,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 I105호 (삼성동)",카페 드 리옹,경양식,205130.591678902    ,445590.096837802    ,,,삼성동,
9233,3220000-101-2021-00650,2021-05-28,영업/정상,674.30,135-230,서울특별시 강남구 일원동 50 삼성서울병원,"서울특별시 강남구 일원로 81, 삼성서울병원 암병원 지하1층 (일원동)",푸드코트 FLAVOUR6 풀스키친,한식,207534.49462606,442943.860447203,,,일원동,
9234,3220000-101-2021-00654,2021-05-31,영업/정상,58.79,135-230,서울특별시 강남구 일원동 50 삼성서울병원,"서울특별시 강남구 일원로 81, 삼성서울병원 암병원 지하1층 (일원동)",푸드코트 FLAVOUR6 석관동떡볶이 더키친,일식,207534.49462606,442943.860447203,,,일원동,
9235,3220000-101-2021-00655,2021-05-31,영업/정상,64.37,135-230,서울특별시 강남구 일원동 50 삼성서울병원,"서울특별시 강남구 일원로 81, 삼성서울병원 암병원 지하1층 (일원동)",푸드코트 FLAVOUR6 찬장,한식,207534.49462606,442943.860447203,,,일원동,
9236,3220000-101-2021-00656,2021-05-31,영업/정상,61.54,135-230,서울특별시 강남구 일원동 50 삼성서울병원,"서울특별시 강남구 일원로 81, 삼성서울병원 암병원 지하1층 (일원동)",푸드코트 FLAVOUR6 플레이보6 라이트,분식,207534.49462606,442943.860447203,,,일원동,
9237,3220000-101-2021-00658,20210531,영업/정상,38.64,135829,서울특별시 강남구 논현동 227-4 양지직매상가 ,"서울특별시 강남구 봉은사로33길 33, 양지직매상가 지상1층 37호,38호 (논현동)",몬스터 컴퍼니,기타,203005.088001821    ,445311.309960952    ,,,논현동,
9238,3220000-101-2021-00660,20210531,영업/정상,17.76,135907,서울특별시 강남구 역삼동 605 마티네 차움 ,"서울특별시 강남구 봉은사로 156, 마티네 차움 지상1층 (역삼동)",줄리안스 브레드,기타,202742.441738372    ,444909.756515189    ,,,역삼동,
9239,3220000-101-2021-00665,20210601,영업/정상,51.60,135840,서울특별시 강남구 대치동 900-39 ,"서울특별시 강남구 테헤란로68길 46, 지상1층 101호 (대치동)",카페딜라잇,기타,204643.940858397    ,444450.055565438    ,,,대치동,
9240,3220000-101-2021-00666,2021-06-01,영업/정상,318.61,135-819,서울특별시 강남구 논현동 99-7 럭스웨이빌딩,"서울특별시 강남구 선릉로145길 13, 럭스웨이빌딩 지하1층 (논현동)",씨마크,경양식,203336.585270466,446550.9413477,,,논현동,
9241,3220000-101-2021-00667,20210602,영업/정상,55.00,135839,서울특별시 강남구 대치동 889-47 샹제리제센터 ,"서울특별시 강남구 선릉로90길 10, 샹제리제센터 지하3층 127-1호 (대치동)",그린가든,한식,204353.139588107    ,444636.716818796    ,,,대치동,
9242,3220000-101-2021-00668,2021-06-02,영업/정상,134.86,135-954,서울특별시 강남구 청담동 83-1 마드레스,"서울특별시 강남구 선릉로162길 12, 마드레스 지상3층 (청담동)",플럭스(flux),경양식,203595.427539126,447168.912828967,,,청담동,
9243,3220000-101-2021-00670,20210602,영업/정상,63.92,135897,서울특별시 강남구 신사동 657-17 ,"서울특별시 강남구 선릉로155길 26, 지상4층 (신사동)",올비도 olvido,기타,203252.48984517     ,447060.360695799    ,,,신사동,
9244,3220000-101-2021-00671,20210602,영업/정상,33.00,135915,서울특별시 강남구 역삼동 675 ,"서울특별시 강남구 언주로97길 7, 지하1층 (역삼동)",맛동산,분식,203531.569617429    ,444786.090615213    ,,,역삼동,
9245,3220000-101-2021-00674,20210602,영업/정상,158.22,135954,서울특별시 강남구 청담동 88-29 ,"서울특별시 강남구 도산대로57길 13-4, 지상1층 (청담동)",레솔베르 청담2호점,기타,203553.450445332    ,446939.804264849    ,,,청담동,
9246,3220000-101-2021-00675,20210603,영업/정상,47.97,135825,서울특별시 강남구 논현동 143-15 건일빌딩 ,"서울특별시 강남구 강남대로 524, 건일빌딩 지상1층 105호 (논현동)",두비두바(DoobeDoBar),"외국음식전문점(인도,태국등)",201942.737405801    ,445200.466349612    ,,,논현동,
9247,3220000-101-2021-00676,20210604,영업/정상,40.20,135200,서울특별시 강남구 자곡동 658 강남힐스테이트에코 ,"서울특별시 강남구 자곡로 202, 강남힐스테이트에코 지상1층 107-1호 (자곡동)",백채 김치찌개 자곡점,한식,209201.961413428    ,441399.856009506    ,,,자곡동,
9248,3220000-101-2021-00678,20210604,영업/정상,46.00,135854,서울특별시 강남구 도곡동 416-10 ,"서울특별시 강남구 논현로36길 23, 지상1층 (도곡동)",와인 쉬어리(wine 쉬어리),한식,203799.134436024    ,442550.377221919    ,,,도곡동,
9249,3220000-101-2021-00679,20210604,영업/정상,50.00,135858,서울특별시 강남구 도곡동 546 성환빌딩 ,"서울특별시 강남구 도곡로 156, 성환빌딩 지하1층 (도곡동)",원푸드,분식,203209.043077255    ,443192.004127298    ,,,도곡동,
9250,3220000-101-2021-00680,20210604,영업/정상,116.01,135539,서울특별시 강남구 수서동 713 수서현대벤쳐빌,"서울특별시 강남구 밤고개로1길 10, 수서현대벤쳐빌 지하1층 B122호 (수서동)",미태리 수서역점,"외국음식전문점(인도,태국등)",208937.760652081,442873.588039887,,,수서동,
9251,3220000-101-2021-00681,20210607,영업/정상,18.38,135835,서울특별시 강남구 대치동 316 은마아파트 ,"서울특별시 강남구 삼성로 212, 상가동 지하1층 B블럭 5호 (대치동, 은마아파트)",맛난 칼국수,분식,205707.089399978    ,443914.194133105    ,,,대치동,
9252,3220000-101-2021-00682,20210607,영업/정상,33.06,135515,서울특별시 강남구 역삼동 787-1 형인빌딩 ,"서울특별시 강남구 논현로64길 22, 형인빌딩 지상1층 102호 (역삼동)",참누들바(charm noodle bar),일식,203668.426416169    ,443485.604196084    ,,,역삼동,
9253,3220000-101-2021-00683,20210607,영업/정상,234.00,135200,서울특별시 강남구 자곡동 347 수서역세권 A3BL아파트 건설공사1공구 ,,양우푸드시스템,한식,209360.04707124     ,441652.167567994    ,,상수도전용,자곡동,
9254,3220000-101-2021-00684,20210607,영업/정상,74.38,135090,서울특별시 강남구 삼성동 159-8 파르나스타워 ,"서울특별시 강남구 테헤란로 521, 파르나스타워 지하1층 F7,8호 (삼성동)",열도미행 파르나스몰점,일식,205314.159889285    ,445204.709309676    ,,,삼성동,
